,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,App Name
0,gp:AOqpTOFcvRt1ZoHc8i2TkwI-5xEsP_s2sRbRWxxKUQHCSu4agYFlVE0-qMeodKUuiu5vj8_NMjTPzThGs19ShH8,Daniel Robinson,https://play-lh.googleusercontent.com/a-/AOh14GjGwbHgWs_HaSwv8aPJQ0nYTHNFJLJ-I8Eeq5mJ,WhatsApp started being a problem so I switched to this and this has been Superior for quite some time. However I just got an update and now I cannot see the other person during video calls. Saying how this app is the main way we communicate this is kind of a serious problem. I'm going to uninstall and reinstall this app and see if that fixes it. This was a four star but if one of the main functions doesn't work it's just going to have to sit at three.,3,539,8.6.0,2022-03-13 10:54:36,"Sorry for the inconvenience – the latest version of the app (8.6.1) fixed this issue. After updating your app, everything will work normally again.",2022-03-13 22:58:11,Telegram
1,gp:AOqpTOEYFNqyqXlCm_KXKDnKE5Y6bhlohBmtr8dbfcEyvSYI3Bf5lR7X4NSWs_oywqz-Jk8ILZSBAizZgYikMKA,Lavendeer 201,https://play-lh.googleusercontent.com/a-/AOh14Gib4FCDfIlV3ANyXO1EUVDU-1lkvEYo0qq2EH0IXw,"App is great but it is annoying every time to launch it and see a pop up wanting to allow background activity. I don't want it to run in the background. Plus when I do go to resolve the problems in settings, there isn't even an option to allow background activity. I only have my location denied for the app. Very strange and annoying",3,42,8.6.1,2022-03-16 08:00:00,,,Telegram
2,gp:AOqpTOH2yKBuvMVJ0_lYVWz9Pg3E30okUOAk1zFaUgiJTaMleLOvm6CyjBuhX0k7h11Y985_PmFGV59Znl1N2TI,Shannon O'Brien,https://play-lh.googleusercontent.com/a-/AOh14GhJKTcSy2bmcQWMuaH9iJ-K8LadxVxIUOlJAT1MPA,"I use Telegram on both my phone and laptop. I like it and I don't have any complaints. It's more comfortable to use than the text messaging service that came with my phone, and I was very tired of Facebook and Facebook messenger. This was a nice way to disconnect from all that",5,38,8.6.1,2022-03-15 20:51:09,,,Telegram
3,gp:AOqpTOGg1_Mn9JLsOCoK0YZZqq1SbEP5tABZhrgcrMolhsnnfdajuwpEwf96b0de3mprGFS4yacsysZkMcV7mos,Rustmane Skytrekker,https://play-lh.googleusercontent.com/a-/AOh14GgY7M94kaHABCUsRxGV4gE8aYFOD8X5zksXbN1p,"I loved this when it was just a simple messenger. Stickers and gifs are great.. But it feels like they're trying to put too much in the program now. In the last week, the chats have started ra domly skipping forward as I scroll through history. It's getting REALLY annoying.",3,11,8.6.1,2022-03-17 12:00:09,,,Telegram
4,gp:AOqpTOHmOJ6TrfDBmFPetobSMKTkkxYEwawcB-0WD87DoddLn33EeAiPOXqmo2DnbEDZ6PPmUGE3dpx1xhTHh70,M P,https://play-lh.googleusercontent.com/a/AATXAJyQmXICSmfrZSNLMQb8_2EDYu5bSKI0DaPfbjf2=mo,"I've been using Telegram for at least 5-6 years.. Now I downloaded latest app, using same phone, same Sim card and same phone number, however it forced me to create new account, all older chats, groups, contacts are gone. Lost all of that information. Update: also tried to open desktop app, it had all my history for a second and then everything disappeared and said that app is outdated, forced to update.. All gone as well.",1,67,8.6.0,2022-03-12 08:19:25,"Hello, you can try contacting support chat through Telegram Settings > Ask a Question, to diagnose your case further.",2022-03-12 16:10:39,Telegram
5,gp:AOqpTOHhM9o7L-GuOjjOhQv8Cj2ffmI-aUt_v6_doNYdqoH_okwpdVStILBo12yEVxEaNGODiEEh8dPallmGnEk,Batbutt Candela,https://play-lh.googleusercontent.com/a-/AOh14GiL2b3DiN9y8B_oBDnZMc-7pxQTEY0xHQ-Ieo1hDGM,"My contacts synchronization is always disabled, but contacts keep showing on my end as ""[Insert contact name] has joined Telegram!"" and I have manually erase them and block them, already checked the app's inner settingsand in-app settings, it baffles me that it still happens",2,3,8.6.1,2022-03-17 01:34:22,"Hello, try going to Telegram Settings > Privacy and Security > then use the Delete Synced Contacts option there. That should delete all contacts synced to your Telegram account. If you have the ""Sync Contacts"" option disabled there, it shouldn't sync any contacts from your device again.",2022-03-17 03:15:07,Telegram
6,gp:AOqpTOH78AgYCmYWwXxi25thE4OxSwj17nywwxZBnVBDXuK326MP9YxoS0s5vIcF5oAhI7btqLSgSMaa8mJhxRk,Danielle Trail,https://play-lh.googleusercontent.com/a-/AOh14GhjX6cswRKT49M0TonKrhAPT3is3Smn7C1tq518ktQ,"The new update has made it extremely difficult to video chat with people. Either I can't see them when their camera is on, or they can't see me with my camera on. We've tried reinstalling the app, but still the video chat is a bust. Please fix this issue",3,16,8.6.0,2022-03-13 09:02:26,"Hello, try updating to Android Telegram v8.6.1+, the video chat issues should be fixed.",2022-03-15 08:38:40,Telegram
7,gp:AOqpTOEuuGwVRn4WiXaZbD3inf01A7JJxhIPUZvylr5Ttk91yXIUGuvZRoTz7CRDC42LZRF7sgwwUx7ICyMoiXk,Ralph Miranda,https://play-lh.googleusercontent.com/a-/AOh14GjtX4n7afX9vPWx0PUWYmZVpYR54vJSpo3w8yRMnQ,"People I know keep popping up as having ""Joined Telegram!"" while it's NOT them but someone using a very old number they no longer have & those numbers aren't even associated with them anymore in my contact info for them—so why the heck is this happening? This is a HUGE SOCIAL ENGINEERING SECURITY HOLE as the app simply doesn't verify your contacts. EDIT: thanks for the tone deaf response.",3,173,8.6.1,2022-03-13 19:20:29,"Hello, note that the new owner of a recycled phone number would not know what name you see them as, because it's based on the name you saved the contact as on your end. So if the contact phone number / name is outdated, it can unfortunately create confusion for both sides. Deleting the synced contacts can help refresh your contacts list.",2022-03-13 23:42:33,Telegram
8,gp:AOqpTOF8RynnPUdlPP2B4bF7iFTMydsYkcrpDg-WUaak5y1FNIv7TtjaPP72RqLN-Js7lPSgYMj5EgHeYBVW4UI,CHEETAH-VIRUS Xi,https://play-lh.googleusercontent.com/a-/AOh14GjWFqVYrQSkXKN3tO9wGqh2OyuE2EwZJFSMrgSHbA,"App on desktop sucks big time,no matter what it refuses to not use my headset mic even tho its set to it. Its so annoying. Also be warned, when join more than 5 groups it lags to hell. I mean everything takes forever to load,even stickers.",1,3,8.6.1,2022-03-17 08:59:11,,,Telegram
9,gp:AOqpTOHpkRC3UqQLboEu9yw0YZJuP8oMFVr-4V2zF77ZYlOh4AbuNgAdnQhAAbJLGTjBDdlEV9mFJ5iTboJxKqk,Musab Fatani,https://play-lh.googleusercontent.com/a-/AOh14GhmZI__tKNji1UPr0AMjXDNZaidHJkySBGzttN_fJ4,"Chat bubble has stopped working. I had uninstalled and installed the app again, but it did not work, also I have cleared the cache and storage and it did not work. please fix the issue.",1,5,8.6.1,2022-03-17 04:55:08,,,Telegram
10,gp:AOqpTOF0hR6N384lb9GnVxkx7-VSnxpcZbfHI0iTnuU28Rb5NR0re2D5Bo-PrWKz9ou8XxDXpUge4S4-lZHy-I4,Denise Curran,https://play-lh.googleusercontent.com/a-/AOh14Gj1YZr6spv3ErwJSXyNq-Ji2IAL5OGoS3oisuyJwQ,"I opened my app and it showed my icon with my initials deleted and I couldn't get it back. If I try and search myself, my initial icon doesn't exist. I cannot receive information from others. I can only send information to saved searches and I'm the only one that can do that.",1,13,8.6.0,2022-03-13 10:25:25,"Hello, if you do not set a profile photo, then it will default to showing a random color with the initials of your account's display name. If you have a profile photo set and delete the profile photo so that no profile photos are left, it will go back to showing the random color + initials of your account's display name.",2022-03-15 08:41:56,Telegram
